game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,game6home,game6away,game6isHome,game7home,game7away,game7isHome,game8home,game8away,game8isHome,game9home,game9away,game9isHome,game10home,game10away,game10isHome,home_team_id,home_scored_avg,home_conceded_avg,away_team_id,away_scored_avg,away_conceded_avg
3,2,0,4,1,0,1,4,0,3,2,1,2,5,0,1,2,0,4,1,0,1,4,1,3,0,1,4,3,1,18,2.425531914893617,2.6808510638297873,17,3.193548387096774,2.89247311827957
2,3,0,2,1,1,3,5,0,1,3,0,8,1,1,4,1,1,4,3,0,5,2,1,1,6,0,4,5,0,6,2.573170731707317,2.597560975609756,14,3.0277777777777777,2.5277777777777777
1,2,1,1,3,0,1,4,0,4,3,1,3,4,0,3,4,0,2,1,0,4,3,0,2,5,0,2,1,1,7,3.341463414634146,1.9634146341463414,20,2.881720430107527,2.6774193548387095
5,2,1,0,2,0,4,3,0,2,6,0,1,2,1,0,8,0,4,1,0,1,4,0,2,1,0,1,5,0,10,3.0609756097560976,2.658536585365854,6,3.05607476635514,2.317757009345794
1,3,0,2,5,0,2,1,0,3,1,1,1,5,1,1,5,0,2,4,0,2,3,0,5,4,1,4,2,1,15,2.7083333333333335,2.6145833333333335,7,2.658536585365854,2.8048780487804876
4,2,1,1,5,0,2,0,1,1,5,1,4,3,0,4,5,0,4,0,0,3,2,1,3,2,0,5,4,0,53,3.1219512195121952,2.5365853658536586,24,2.7790697674418605,2.697674418604651
0,7,0,1,0,0,3,1,0,3,2,1,2,3,1,3,5,0,4,1,0,3,5,0,3,4,1,4,1,1,6,2.317757009345794,3.05607476635514,15,2.7142857142857144,2.4285714285714284
4,0,1,2,4,0,0,4,0,0,5,0,1,4,1,2,5,1,2,0,1,5,1,1,2,3,0,1,5,0,30,2.5795454545454546,2.647727272727273,23,2.3292682926829267,2.9634146341463414
1,2,0,2,7,0,2,3,0,5,2,1,1,3,0,2,0,1,2,3,0,2,3,1,1,2,0,3,5,1,9,2.5795454545454546,2.840909090909091,15,2.8125,2.40625
1,2,0,2,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,13,2.792682926829268,2.3780487804878048,27,2.802325581395349,2.8372093023255816
2,1,1,1,0,0,4,7,0,2,3,0,3,1,0,2,1,0,6,5,0,0,2,1,2,4,1,1,2,0,6,2.1595744680851063,3.095744680851064,28,3.044943820224719,2.539325842696629
2,1,0,3,5,0,1,4,0,3,1,0,3,4,0,2,4,0,2,3,0,4,3,0,2,1,1,1,5,0,52,2.8902439024390243,2.768292682926829,30,2.5473684210526315,2.536842105263158
2,4,0,1,6,0,2,1,0,1,3,0,3,4,1,4,2,1,3,2,0,1,4,1,3,5,1,4,3,0,1,2.5365853658536586,2.2439024390243905,10,2.4146341463414633,3.0
0,1,0,4,3,1,7,4,0,1,7,0,4,1,1,4,3,0,8,4,1,4,1,0,8,5,1,1,2,0,5,2.7196261682242993,3.3551401869158877,52,3.0365853658536586,3.1219512195121952
6,7,0,3,4,0,3,0,1,3,2,0,1,2,1,3,1,0,1,0,1,2,3,1,1,0,0,3,5,0,15,2.6545454545454548,2.9272727272727272,5,3.3968253968253967,2.5238095238095237
0,1,1,2,1,0,4,2,1,4,1,1,2,3,0,1,2,0,4,3,1,3,1,0,3,2,1,3,4,1,8,2.525252525252525,2.686868686868687,6,3.095744680851064,2.1595744680851063
2,3,0,0,2,0,2,1,0,2,0,0,3,2,0,0,3,0,3,2,0,0,0,1,0,0,1,0,0,1,1,2.548780487804878,2.1219512195121952,23,2.9906542056074765,2.3738317757009346
1,3,0,5,2,0,3,2,0,1,2,0,4,1,1,6,2,1,6,5,0,2,6,1,2,4,0,5,4,0,14,2.768292682926829,2.8536585365853657,17,2.524390243902439,2.975609756097561
1,3,1,2,4,0,4,1,0,2,6,1,1,3,1,2,1,1,3,2,0,3,4,0,1,3,0,2,7,1,20,3.024390243902439,2.658536585365854,15,3.2547169811320753,2.830188679245283
5,8,0,2,1,0,4,3,0,3,4,1,3,2,0,2,1,1,1,4,0,5,3,0,5,1,1,4,2,1,3,2.735632183908046,2.8275862068965516,12,2.4146341463414633,2.7560975609756095
2,4,0,1,6,0,2,1,0,1,3,0,3,4,1,4,2,1,3,2,0,1,4,1,3,5,1,4,3,0,1,2.5365853658536586,2.402439024390244,10,2.817073170731707,3.1219512195121952
2,5,0,4,1,0,0,3,1,3,4,0,3,4,1,2,3,0,3,1,0,2,1,1,3,0,1,4,6,0,10,2.9213483146067416,3.337078651685393,12,2.7804878048780486,3.1219512195121952
