game_id,season,date_time,game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,home_perc,away_perc,home_team_id,away_team_id,home_scored_avg,home_conceded_avg,away_scored_avg,away_conceded_avg,total
2016020140,20162017,2016-11-02,1,4,1,2,3,1,1,6,1,1,5,1,2,4,0,0.9107806248996554,0.9009408053338067,21,18,2.6341463414634148,3.073170731707317,2.3469387755102042,2.9591836734693877,6
2011020135,20112012,2011-10-28,3,2,0,0,3,0,0,0,1,0,0,1,0,0,1,0.912327153168988,0.9072980039837518,27,1,2.86046511627907,2.7906976744186047,1.951219512195122,2.6341463414634148,8
2014030182,20142015,2015-04-18,3,4,1,4,3,0,5,1,1,1,3,1,3,2,1,0.9176838166841745,0.9042842768733624,23,20,2.5121951219512195,2.4390243902439024,2.3658536585365852,2.951219512195122,5
2011020161,20112012,2011-11-01,2,5,0,0,4,0,2,5,0,7,6,0,1,2,1,0.9225077827199251,0.9082245415927482,15,24,2.9347826086956523,2.369565217391304,2.7954545454545454,3.090909090909091,9
2018020026,20182019,2018-10-07,0,4,0,3,4,1,4,1,0,3,2,1,2,4,0,0.9256018536088564,0.906433261558742,21,4,3.477272727272727,2.477272727272727,3.0681818181818183,3.022727272727273,7
2011020484,20112012,2011-12-20,5,4,0,4,0,0,0,4,0,4,1,0,2,4,0,0.8878523623242403,0.9102869356421412,21,4,2.926829268292683,3.658536585365854,3.0434782608695654,2.847826086956522,5
2015020707,20152016,2016-01-23,6,3,0,0,4,0,3,2,1,2,3,1,1,3,0,0.9086701159273038,0.919794667161651,13,16,2.658536585365854,2.682926829268293,2.7358490566037736,2.509433962264151,4
2017020962,20172018,2018-02-26,5,0,0,4,2,1,3,2,0,3,2,1,5,1,0,0.9286117011721494,0.9107419983765438,24,22,2.92,2.16,2.9583333333333335,2.7083333333333335,11
2016030134,20162017,2017-04-19,2,4,0,4,5,0,7,1,1,1,4,1,2,3,1,0.9062581768588011,0.9177414663690299,10,15,2.707317073170732,2.951219512195122,2.9361702127659575,2.404255319148936,9
2013020571,20132014,2013-12-28,4,1,1,2,3,0,4,5,0,5,3,1,1,3,0,0.8906250954415298,0.9105578303205563,12,5,2.7916666666666665,3.4583333333333335,3.4838709677419355,2.838709677419355,7
2013020789,20132014,2014-01-28,2,5,0,3,6,1,3,2,0,4,2,1,3,6,1,0.8862462863297639,0.9229120654166454,2,6,3.0,3.185185185185185,2.6470588235294117,2.323529411764706,9
2012020305,20122013,2013-03-02,3,2,1,4,1,1,3,4,0,0,1,1,4,3,0,0.914600065008496,0.9075703050654259,52,15,2.975609756097561,2.5121951219512195,2.4489795918367347,2.9591836734693877,3
2011020550,20112012,2011-12-30,4,5,0,4,2,0,4,3,1,0,3,1,5,4,0,0.9116211891448734,0.9154124923566684,24,23,3.090909090909091,2.75,2.9615384615384617,2.5576923076923075,7
2015020450,20152016,2015-12-15,2,4,0,2,3,0,2,3,1,4,3,0,5,1,0,0.9055627678139787,0.9034111514984166,29,14,2.8292682926829267,3.2439024390243905,2.8333333333333335,2.6666666666666665,3
2013020237,20132014,2013-11-08,3,2,0,2,3,0,6,3,0,3,2,1,3,4,0,0.9071230629166754,0.9265296575346241,14,22,3.4166666666666665,2.875,2.6666666666666665,2.625,6
2016020451,20162017,2016-12-16,2,5,1,3,4,1,4,3,0,5,4,0,1,2,0,0.907985810307178,0.9224099924262099,52,13,2.731707317073171,2.8780487804878048,2.7045454545454546,2.4318181818181817,7
2015020517,20152016,2015-12-27,2,3,0,6,2,1,4,3,0,4,3,1,0,6,0,0.9264796104297479,0.8988728234637169,6,7,2.682926829268293,2.2439024390243905,1.9024390243902438,3.7560975609756095,9
2018020438,20182019,2018-12-07,5,2,1,4,2,1,5,4,0,8,3,0,4,3,0,0.9176826791418838,0.8919734576336432,54,16,3.588235294117647,2.4705882352941178,2.682926829268293,3.5121951219512195,7
2018020312,20182019,2018-11-20,2,1,0,5,3,1,2,4,0,5,1,1,6,2,0,0.8907245641713366,0.909069028887454,9,13,3.048780487804878,3.731707317073171,2.707317073170732,3.1219512195121952,12
2017020740,20172018,2018-01-24,1,2,1,2,3,1,3,2,0,1,0,1,3,1,1,0.9115325090308081,0.9161567016547978,23,26,2.1707317073170733,2.8048780487804876,2.097560975609756,2.4146341463414633,8
2015030225,20152016,2016-05-07,3,1,0,1,0,1,2,3,1,1,0,0,3,5,0,0.9199755836700011,0.9186879150508777,15,5,2.9375,2.2708333333333335,2.477272727272727,2.5454545454545454,4
2013030241,20132014,2014-05-04,2,1,1,2,4,0,2,1,0,1,4,0,3,4,0,0.9122286255173754,0.8969040671570856,24,26,3.0,2.5714285714285716,2.212121212121212,2.909090909090909,5
2018021232,20182019,2019-04-02,1,4,0,3,4,0,3,2,1,3,4,1,1,2,0,0.9120808227094347,0.9233955244739277,8,14,2.8292682926829267,2.8536585365853657,3.4791666666666665,2.7708333333333335,6
2018030224,20182019,2019-05-03,3,4,1,4,2,0,1,0,0,2,1,0,5,2,1,0.9004321423463889,0.8998445912127053,12,2,2.682926829268293,2.975609756097561,3.024390243902439,3.4878048780487805,7
2017020829,20172018,2018-02-09,5,7,0,2,5,0,1,3,0,2,1,0,4,3,1,0.9216976186902919,0.9071364922106411,9,18,2.62,2.4,2.5961538461538463,2.923076923076923,7
2012020195,20122013,2013-02-15,2,5,1,5,4,0,2,3,1,3,0,1,2,3,1,0.9164919344919622,0.9275141933777786,18,27,2.891304347826087,2.391304347826087,2.5625,2.375,3
2016020935,20162017,2017-03-02,3,1,1,5,1,0,5,3,0,3,2,1,2,3,0,0.9319482607372368,0.9225435622706853,16,5,2.977272727272727,2.1363636363636362,2.7884615384615383,2.326923076923077,5
2016021123,20162017,2017-03-27,6,2,0,2,1,0,2,5,0,1,3,1,0,5,0,0.9182415654588609,0.9009408053338067,2,18,3.0217391304347827,2.5217391304347827,2.3469387755102042,2.9591836734693877,4
2017020535,20172018,2017-12-22,2,1,1,3,5,0,3,1,0,4,3,1,1,6,0,0.9045303260929279,0.9078621585004485,25,16,3.1707317073170733,2.8780487804878048,2.7209302325581395,2.86046511627907,4
2016020699,20162017,2017-01-22,3,2,0,2,6,0,5,3,0,1,2,1,2,1,1,0.9151413168062876,0.9145988321147641,30,24,2.7954545454545454,2.409090909090909,2.522727272727273,2.5,8
2014020684,20142015,2015-01-21,4,6,1,4,2,0,1,2,1,2,4,0,2,1,0,0.915733805286245,0.9048292523106939,4,5,2.977272727272727,2.6136363636363638,2.8085106382978724,2.6808510638297873,5
2012020643,20122013,2013-04-18,1,3,0,7,4,1,5,3,0,2,3,1,3,2,0,0.9065624923914272,0.8954893556802119,24,29,2.8780487804878048,2.8048780487804876,2.341463414634146,3.5365853658536586,5
2015030175,20152016,2016-04-23,1,3,1,0,3,0,1,4,0,5,4,1,1,4,1,0.9158220775179591,0.9159674789526094,24,18,2.98,2.58,2.6818181818181817,2.7045454545454546,7
2011020018,20112012,2011-10-09,4,3,0,5,4,1,2,5,0,5,4,0,1,3,0,0.8878523623242403,0.9138444732025197,21,17,2.926829268292683,3.658536585365854,3.1914893617021276,2.702127659574468,3
2017030122,20172018,2018-04-15,2,1,0,8,0,1,2,3,0,6,4,0,4,2,0,0.9074548384461859,0.9111736488977263,6,10,2.7954545454545454,2.4545454545454546,3.0454545454545454,3.0454545454545454,10
2014020975,20142015,2015-03-08,1,5,1,4,5,0,1,5,0,2,3,1,2,0,0,0.9156003332317273,0.9172595169986019,29,21,3.1363636363636362,2.6363636363636362,2.772727272727273,2.7954545454545454,4
2013020538,20132014,2013-12-21,2,5,1,3,4,1,4,3,0,5,4,0,1,2,0,0.8973289253042256,0.8828847509222449,52,13,2.8333333333333335,2.75,1.9583333333333333,3.75,7
2018021028,20182019,2019-03-06,4,5,1,3,2,1,3,0,0,1,4,0,1,2,1,0.9194222514676146,0.8928224342195872,26,8,2.813953488372093,2.395348837209302,2.268292682926829,3.5853658536585367,4
2018020683,20182019,2019-01-12,4,3,0,2,3,0,3,2,1,1,0,0,1,2,1,0.9004321423463889,0.8968041852337367,12,7,2.682926829268293,2.975609756097561,2.6341463414634148,3.4390243902439024,7
2013020626,20132014,2014-01-04,2,4,0,4,2,1,1,2,0,5,3,1,3,4,0,0.9329579823363976,0.9039511902936894,6,52,2.9444444444444446,2.138888888888889,2.5,3.25,5
2013030146,20132014,2014-04-29,0,2,0,3,2,0,0,7,0,4,1,1,2,5,1,0.9112109849386864,0.9173725579840499,4,3,2.9166666666666665,2.6666666666666665,2.096774193548387,2.5161290322580645,7
2016020491,20162017,2016-12-21,1,4,0,1,5,0,2,5,1,1,4,0,3,2,1,0.9126606183018093,0.9040915163929594,23,52,2.341463414634146,2.8780487804878048,2.5121951219512195,2.951219512195122,5
2015021039,20152016,2016-03-15,0,3,0,3,1,0,3,2,1,3,2,0,3,4,0,0.9206482674659874,0.909065721216037,4,17,2.951219512195122,2.4878048780487805,2.688888888888889,2.8222222222222224,7
2017020152,20172018,2017-10-27,4,2,0,1,4,0,2,1,0,2,3,0,2,0,1,0.9157629041660358,0.9200947206627882,12,19,2.682926829268293,2.6097560975609757,2.595744680851064,2.5106382978723403,3
2016020955,20162017,2017-03-05,3,1,0,6,2,0,6,0,0,1,4,1,2,4,0,0.9147857380463367,0.9025021519645315,13,25,3.0454545454545454,2.522727272727273,3.127659574468085,3.0638297872340425,3
2017020244,20172018,2017-11-11,3,1,0,1,0,1,2,3,1,1,0,0,3,5,0,0.9326341594244648,0.9076380634446677,15,5,3.125,1.8333333333333333,2.9245283018867925,3.0,5
2012020468,20122013,2013-03-25,2,3,0,3,4,1,4,3,1,0,1,0,5,2,1,0.914600065008496,0.8890140517879039,52,14,2.975609756097561,2.5121951219512195,2.4878048780487805,3.7560975609756095,5
2013020769,20132014,2014-01-25,3,2,0,0,3,1,1,5,0,5,0,0,2,7,0,0.8926488444141955,0.9118731006754244,1,15,2.75,2.4583333333333335,2.888888888888889,2.925925925925926,3
2011020716,20112012,2012-01-24,3,4,0,5,3,0,2,1,1,1,2,1,2,1,0,0.9088029681197867,0.9040595750183875,10,2,2.682926829268293,2.902439024390244,2.3658536585365852,3.317073170731707,3
2018020805,20182019,2019-02-05,7,4,1,4,0,0,2,1,0,5,2,0,5,2,1,0.9210739036218721,0.9166239238073576,10,24,3.4545454545454546,2.6136363636363638,2.558139534883721,2.86046511627907,7
2015020763,20152016,2016-02-05,3,4,1,5,3,0,5,2,0,1,4,1,4,3,0,0.9176779944945725,0.8783592220623596,9,22,3.1363636363636362,2.7954545454545454,2.4878048780487805,3.8536585365853657,9
2013020072,20132014,2013-10-13,0,4,1,5,2,1,0,4,0,0,1,1,0,3,0,0.9051794450150374,0.9023513144917614,30,25,2.1923076923076925,2.3846153846153846,2.7083333333333335,2.8333333333333335,6
2011020569,20112012,2012-01-02,2,5,0,0,2,0,3,2,0,0,7,0,4,1,1,0.9127272245711129,0.9249928335305863,4,3,3.148936170212766,2.765957446808511,2.4545454545454546,2.3636363636363638,5
2011021205,20112012,2012-04-05,0,1,0,2,4,0,3,4,0,5,2,1,3,5,0,0.9225077827199251,0.9115697474865553,15,13,2.9347826086956523,2.369565217391304,2.1951219512195124,2.902439024390244,6
2015021121,20152016,2016-03-26,1,4,0,1,5,0,2,1,0,1,2,1,1,2,0,0.9176779944945725,0.8995021019921019,9,24,3.1363636363636362,2.7954545454545454,3.0,2.8958333333333335,7
2013020999,20132014,2014-03-14,2,5,0,4,3,1,3,1,0,2,3,1,3,2,1,0.8833750883005475,0.8921630071344029,13,1,2.7083333333333335,3.375,1.9166666666666667,2.9166666666666665,8
2014020318,20142015,2014-11-26,3,4,0,5,2,0,4,5,1,2,4,0,3,1,0,0.8952858773673511,0.9236073005863032,18,26,2.5853658536585367,2.902439024390244,2.690909090909091,2.327272727272727,7
2013020264,20132014,2013-11-13,6,2,0,2,1,0,2,5,0,1,3,1,0,5,0,0.8862462863297639,0.8825776233708303,2,18,3.0,3.185185185185185,2.1666666666666665,3.3333333333333335,4
