game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,game6home,game6away,game6isHome,game7home,game7away,game7isHome,game8home,game8away,game8isHome,game9home,game9away,game9isHome,game10home,game10away,game10isHome,home_team_id,home_scored_avg,home_conceded_avg,away_team_id,away_scored_avg,away_conceded_avg
1,5,1,1,4,0,2,1,1,3,2,0,2,6,0,4,2,0,5,3,0,3,2,0,1,2,0,2,3,1,15,2.40625,2.8125,21,2.6707317073170733,2.768292682926829
2,6,0,1,3,0,1,3,0,0,7,0,2,3,0,5,3,0,4,2,0,0,0,1,0,0,1,0,0,1,10,3.0609756097560976,2.658536585365854,28,2.99,2.71
3,2,1,2,1,0,2,4,1,3,5,1,0,1,0,1,3,0,5,4,0,2,1,1,4,3,0,1,3,0,25,2.707317073170732,2.573170731707317,26,2.4607843137254903,2.049019607843137
2,5,0,2,5,0,4,2,1,1,5,0,1,5,1,4,3,0,4,5,0,4,0,0,3,2,0,5,4,0,53,2.9878048780487805,2.548780487804878,24,2.651685393258427,2.3146067415730336
4,6,0,3,2,0,3,1,1,6,2,1,4,3,0,0,3,0,3,4,1,3,5,0,0,0,1,0,0,1,15,2.830188679245283,3.2547169811320753,54,3.2254901960784315,2.696078431372549
3,4,0,4,1,1,0,2,0,3,2,0,3,0,0,3,2,1,0,4,0,4,3,0,4,1,1,4,3,0,18,2.425531914893617,2.6808510638297873,29,2.6219512195121952,3.1463414634146343
2,3,0,2,4,1,2,3,0,4,5,1,2,3,0,4,5,0,2,3,0,1,0,1,5,2,1,1,3,0,20,2.9390243902439024,2.548780487804878,24,3.168421052631579,2.5894736842105264
3,1,0,4,5,1,3,2,0,4,2,0,5,4,0,5,1,1,1,3,0,0,0,1,0,0,1,0,0,1,17,2.7126436781609193,2.5172413793103448,53,2.548780487804878,2.9878048780487805
2,1,0,6,1,1,2,3,1,5,4,0,1,6,0,6,2,1,4,2,0,4,3,0,7,5,0,0,1,0,16,2.561797752808989,2.865168539325843,53,2.548780487804878,2.9878048780487805
3,4,0,3,2,1,1,3,0,0,4,0,6,3,1,3,2,1,4,3,1,2,3,0,4,3,0,2,3,0,21,2.682926829268293,2.5365853658536586,19,2.5274725274725274,2.065934065934066
2,5,0,6,4,1,4,2,1,4,2,0,4,3,0,1,5,0,2,4,1,3,4,0,2,6,1,1,5,1,12,2.9634146341463414,2.597560975609756,14,2.8658536585365852,3.426829268292683
2,1,0,2,5,1,4,3,1,2,3,0,3,1,0,1,5,0,4,2,0,6,3,0,3,2,0,3,4,1,21,2.768292682926829,2.6707317073170733,10,2.573170731707317,3.1951219512195124
5,8,0,2,1,0,4,3,0,3,4,1,3,2,0,2,1,1,1,4,0,5,3,0,5,1,1,4,2,1,3,2.6595744680851063,3.0851063829787235,12,2.6219512195121952,2.8780487804878048
2,3,0,3,4,0,7,3,0,1,2,0,1,2,1,5,4,0,4,3,0,3,2,0,4,1,1,3,2,1,29,3.048780487804878,2.8780487804878048,13,2.5121951219512195,2.7195121951219514
