game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,game6home,game6away,game6isHome,game7home,game7away,game7isHome,game8home,game8away,game8isHome,game9home,game9away,game9isHome,game10home,game10away,game10isHome,home_perc,away_perc
4,2,1,3,2,1,1,2,1,3,4,1,3,4,1,4,2,0,3,2,0,1,2,0,3,4,0,3,4,0,0.9666666666666667,0.9666666666666667
3,1,1,5,1,1,3,5,1,1,2,1,3,2,1,3,1,0,5,1,0,3,5,0,1,2,0,3,2,0,0.88,0.9310344827586207
2,0,1,2,3,1,4,1,1,4,1,1,3,2,1,2,0,0,2,3,0,4,1,0,4,1,0,3,2,0,0.96875,1.0
5,6,1,5,2,1,0,4,1,5,1,1,2,1,1,5,6,0,5,2,0,0,4,0,5,1,0,2,1,0,0.875,0.8780487804878049
4,3,1,3,4,1,1,2,1,5,0,1,5,2,1,4,3,0,3,4,0,1,2,0,5,0,0,5,2,0,0.8787878787878788,0.9032258064516129
1,4,1,4,3,1,4,5,1,7,6,1,2,3,1,1,4,0,4,3,0,4,5,0,7,6,0,2,3,0,0.9666666666666667,0.9215686274509803
5,4,1,1,4,1,2,5,1,1,4,1,4,3,1,5,4,0,1,4,0,2,5,0,1,4,0,4,3,0,0.8571428571428571,0.8936170212765957
1,3,1,2,5,1,3,1,1,3,2,1,1,3,1,1,3,0,2,5,0,3,1,0,3,2,0,1,3,0,0.9117647058823529,0.8260869565217391
2,5,1,7,2,1,4,6,1,6,3,1,3,2,1,2,5,0,7,2,0,4,6,0,6,3,0,3,2,0,0.8571428571428571,1.0
0,2,1,2,4,1,2,3,1,7,2,1,1,3,1,0,2,0,2,4,0,2,3,0,7,2,0,1,3,0,0.8695652173913043,0.9333333333333333
4,1,1,1,3,1,1,4,1,0,1,1,2,3,1,4,1,0,1,3,0,1,4,0,0,1,0,2,3,0,0.9487179487179487,0.9411764705882353
4,2,1,3,0,1,1,5,1,2,8,1,0,1,1,4,2,0,3,0,0,1,5,0,2,8,0,0,1,0,0.8620689655172413,0.9411764705882353
2,6,1,2,1,1,1,4,1,2,3,1,4,6,1,2,6,0,2,1,0,1,4,0,2,3,0,4,6,0,0.9285714285714286,0.8076923076923077
