game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,home_perc,away_perc,home_team_id,away_team_id,home_scored_avg,home_conceded_avg,away_scored_avg,away_conceded_avg
3,6,0,0,4,1,8,5,0,1,3,1,4,3,0,0.9126606183018093,0.9194916324780823,23,6,2.341463414634146,2.8780487804878048,3.1463414634146343,2.4634146341463414
5,0,1,1,0,1,1,2,0,0,1,0,3,2,0,0.9083551655837222,0.9196060864357388,26,19,2.5681818181818183,2.3863636363636362,2.9215686274509802,2.607843137254902
3,2,0,5,2,1,5,4,0,1,4,0,3,5,1,0.8945393405355543,0.9225435622706853,20,5,3.1463414634146343,3.048780487804878,2.7884615384615383,2.326923076923077
4,0,1,5,2,1,3,4,0,5,3,1,5,7,0,0.9147857380463367,0.899675032253268,13,10,3.0454545454545454,2.522727272727273,2.1219512195121952,3.048780487804878
5,4,0,4,3,0,5,2,0,1,2,0,3,0,1,0.9233300130769075,0.9104782517150444,15,30,3.0425531914893615,2.1702127659574466,2.5,2.75
4,5,0,4,2,0,3,5,0,3,1,1,0,5,0,0.9083057879185725,0.9040915163929594,18,52,3.0638297872340425,2.404255319148936,2.5121951219512195,2.951219512195122
3,2,1,2,5,0,4,0,0,2,1,0,4,2,1,0.9188338152515514,0.926569957772793,9,14,2.902439024390244,2.658536585365854,2.5918367346938775,2.4489795918367347
1,2,1,2,0,0,3,2,0,1,5,0,2,1,1,0.910303926790141,0.9021299105270519,8,16,2.5609756097560976,2.5121951219512195,2.7555555555555555,2.977777777777778
2,5,0,1,3,0,2,1,0,3,1,0,2,3,0,0.9067779225939343,0.9134396965739326,53,21,2.975609756097561,2.7560975609756095,2.6341463414634148,2.7804878048780486
4,1,1,1,4,0,2,4,1,2,3,0,1,3,1,0.906104742590348,0.9025021519645315,22,25,2.658536585365854,2.7804878048780486,3.127659574468085,3.0638297872340425
4,6,1,4,2,0,1,2,1,2,4,0,2,1,0,0.9248649447850572,0.9225435622706853,4,5,2.5,2.4318181818181817,2.7884615384615383,2.326923076923077
2,1,0,2,3,0,0,3,1,3,6,0,0,1,1,0.9062806767797283,0.9220788317741283,28,7,2.9056603773584904,2.6037735849056602,2.5365853658536586,2.682926829268293
4,3,0,2,3,0,4,3,0,2,4,0,3,1,0,0.9083551655837222,0.8992884428555972,26,53,2.5681818181818183,2.3863636363636362,2.1219512195121952,3.2195121951219514
6,4,0,2,1,1,3,1,0,1,2,0,2,4,1,0.9130675882992386,0.9105075783694794,1,4,2.2439024390243905,2.4634146341463414,2.5,2.840909090909091
5,4,0,4,3,0,3,2,0,4,1,1,3,2,1,0.9026949599537822,0.9224099924262099,29,13,2.926829268292683,3.1219512195121952,2.7045454545454546,2.4318181818181817
6,2,0,3,7,0,2,0,1,6,2,0,3,1,0,0.9192448990071995,0.899675032253268,14,10,2.96,2.42,2.1219512195121952,3.048780487804878
2,3,0,5,4,0,4,3,0,5,3,0,2,1,1,0.8981080813867579,0.9104782517150444,12,30,2.6097560975609757,2.7804878048780486,2.5,2.75
2,5,0,5,4,0,1,3,0,4,2,1,0,3,1,0.9107806248996554,0.9126440104067317,21,17,2.6341463414634148,3.073170731707317,2.409090909090909,2.9545454545454546
3,6,0,2,7,0,4,1,1,1,3,0,3,2,0,0.9233300130769075,0.9009408053338067,15,18,3.0425531914893615,2.1702127659574466,2.3469387755102042,2.9591836734693877
3,2,0,3,1,0,0,3,1,5,4,1,5,4,0,0.9182415654588609,0.9040915163929594,2,52,3.0217391304347827,2.5217391304347827,2.5121951219512195,2.951219512195122
4,3,0,4,3,1,7,8,0,2,3,0,1,2,1,0.9188338152515514,0.9021299105270519,9,16,2.902439024390244,2.658536585365854,2.7555555555555555,2.977777777777778
5,4,1,2,5,0,4,6,0,0,9,0,1,3,1,0.8945393405355543,0.9194916324780823,20,6,3.1463414634146343,3.048780487804878,3.1463414634146343,2.4634146341463414
1,5,0,2,1,1,3,9,0,2,4,0,1,3,0,0.9241089175725934,0.9196060864357388,24,19,2.7777777777777777,2.1333333333333333,2.9215686274509802,2.607843137254902
4,1,0,2,4,1,5,4,0,1,2,0,1,5,0,0.9062806767797283,0.9196060864357388,28,19,2.9056603773584904,2.6037735849056602,2.9215686274509802,2.607843137254902
3,1,0,1,3,0,2,5,0,4,2,1,4,1,1,0.9148083825741585,0.9187198551706949,5,1,3.2037037037037037,2.537037037037037,2.2439024390243905,2.6097560975609757
4,2,0,3,2,1,1,4,0,2,3,1,3,6,0,0.906104742590348,0.9194916324780823,22,6,2.658536585365854,2.7804878048780486,3.1463414634146343,2.4634146341463414
5,2,1,2,3,0,4,1,0,2,5,1,3,2,0,0.9126606183018093,0.9025021519645315,23,25,2.341463414634146,2.8780487804878048,3.127659574468085,3.0638297872340425
2,0,1,4,2,0,3,4,0,2,4,0,2,4,1,0.9083551655837222,0.9220788317741283,26,7,2.5681818181818183,2.3863636363636362,2.5365853658536586,2.682926829268293
1,0,1,0,3,0,3,0,0,4,1,0,6,1,1,0.9130611167499265,0.9224099924262099,3,13,3.046511627906977,2.5348837209302326,2.7045454545454546,2.4318181818181817
2,3,1,3,5,0,4,1,0,1,5,0,1,6,0,0.9067779225939343,0.9126440104067317,53,17,2.975609756097561,2.7560975609756095,2.409090909090909,2.9545454545454546
3,2,0,2,3,0,2,1,1,1,5,0,1,4,0,0.9188338152515514,0.8951566529432085,9,8,2.902439024390244,2.658536585365854,2.8292682926829267,3.2439024390243905
3,2,0,2,7,0,7,6,0,3,5,1,4,5,0,0.9062581768588011,0.9021299105270519,10,16,2.707317073170732,2.951219512195122,2.7555555555555555,2.977777777777778
1,4,0,7,4,1,2,3,0,4,3,0,2,3,1,0.8945393405355543,0.9025021519645315,20,25,3.1463414634146343,3.048780487804878,3.127659574468085,3.0638297872340425
5,2,1,4,1,0,2,5,1,3,1,0,2,3,1,0.9151413168062876,0.9142779951988452,30,3,2.7954545454545454,2.409090909090909,2.6136363636363638,2.9318181818181817
3,0,1,5,6,0,1,0,0,4,3,1,5,4,0,0.9192448990071995,0.9177414663690299,14,15,2.96,2.42,2.9361702127659575,2.404255319148936
4,3,1,3,0,0,3,7,0,3,4,1,0,4,0,0.9182415654588609,0.9113232447716941,2,29,3.0217391304347827,2.5217391304347827,2.4146341463414633,3.024390243902439
5,2,1,4,5,1,3,1,1,2,4,0,3,0,0,0.9153287942272692,0.9134396965739326,17,21,2.627906976744186,2.4651162790697674,2.6341463414634148,2.7804878048780486
5,3,0,2,5,0,2,5,0,1,2,1,4,3,1,0.8981080813867579,0.9009408053338067,12,18,2.6097560975609757,2.7804878048780486,2.3469387755102042,2.9591836734693877
1,0,1,0,3,0,0,2,1,1,4,0,2,5,0,0.9241089175725934,0.9220788317741283,24,7,2.7777777777777777,2.1333333333333333,2.5365853658536586,2.682926829268293
5,1,1,2,3,0,2,1,0,8,1,0,2,5,0,0.9248649447850572,0.9009654022652572,4,12,2.5,2.4318181818181817,2.2195121951219514,2.731707317073171
3,1,0,3,4,0,5,7,0,0,4,1,2,4,0,0.9319482607372368,0.9134396965739326,16,21,2.977272727272727,2.1363636363636362,2.6341463414634148,2.7804878048780486
