game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,home_perc,away_perc,home_team_id,away_team_id,home_scored_avg,home_conceded_avg,away_scored_avg,away_conceded_avg,home_win,away_win
1,5,1,4,1,0,2,1,0,1,4,1,2,3,0,0.9099988679880188,0.907011399249088,19,15,2.5,3.5,3.6,2.2,5,8
1,4,1,2,1,1,3,0,0,1,3,1,2,3,0,0.8978544721032908,0.9035937286450384,22,26,2.8,3.3,2.8,2.5,5,6
1,2,1,2,3,1,3,2,0,2,0,1,2,3,0,0.8932264657088962,0.9075771873652578,2,1,3.4,2.5,3.4,3.2,6,5
0,6,0,0,1,0,2,3,1,2,4,0,4,3,1,0.9256018536088564,0.9118225012400786,21,23,3.3,2.3,2.3,3.1,5,3
0,1,1,3,1,0,5,2,0,5,3,1,4,0,0,0.9329579823363976,0.9214309775662944,6,9,3.1,2.2,2.8,3.1,7,4
2,1,0,0,1,0,3,2,0,8,1,0,2,4,0,0.9224378976280956,0.9138444732025196,8,17,2.6,2.5,3.0,2.2,4,8
3,2,0,3,2,0,2,3,1,2,5,0,4,3,0,0.9248649447850572,0.914598832114764,4,24,2.2,2.9,2.3,2.3,4,3
1,4,0,3,4,0,4,1,0,2,3,1,1,2,0,0.8945393405355543,0.9142779951988452,20,3,2.4,3.4,4.3,2.2,4,8
1,4,0,3,4,0,3,4,1,1,2,0,4,3,0,0.9067779225939344,0.9104782517150444,53,30,2.4,3.0,3.1,2.9,4,5
1,0,0,3,2,0,2,1,0,4,3,0,3,2,0,0.9045955616650794,0.8977719995964006,19,52,2.5,2.6,3.5,2.5,4,6
4,5,0,5,2,0,0,4,0,3,2,0,1,3,0,0.9277973293509124,0.9122543690569048,23,5,1.8,3.1,2.7,2.9,5,6
5,2,1,1,5,0,5,1,1,2,4,0,5,2,1,0.9187898018179734,0.8995217519137845,52,25,3.2,2.5,2.2,1.6,6,5
5,2,0,3,4,1,1,2,1,2,3,0,4,3,1,0.9224025860926406,0.919121121676164,16,27,4.3,3.0,3.6,3.2,7,8
