game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,game6home,game6away,game6isHome,game7home,game7away,game7isHome,game8home,game8away,game8isHome,game9home,game9away,game9isHome,game10home,game10away,game10isHome,home_team_players,away_team_players
1,3,1,3,2,1,4,1,1,0,5,1,2,3,1,1,3,0,3,2,0,4,1,0,0,5,0,2,3,0,"[0.94117647 0.         0.3        0.         0.6        0.
 1.2        0.         0.         1.9        0.5        1.5
 1.6        0.6        1.1        0.8       ]","[0.93548387 1.6        0.6        0.5        0.         0.
 0.         0.5        1.6        0.5        1.1        0.6
 1.5        0.         0.6        2.7       ]"
3,4,1,2,6,1,3,2,1,6,4,1,3,2,1,3,4,0,2,6,0,3,2,0,6,4,0,3,2,0,"[0.85714286 0.         0.9        0.         0.3        0.3
 1.5        0.3        0.5        0.         0.5        2.1
 0.3        1.3        0.         0.6       ]","[0.88461538 0.6        1.3        0.6        0.6        0.9
 0.6        0.6        0.3        0.6        0.         0.3
 0.6        1.4        0.         0.9       ]"
4,2,1,2,3,1,3,10,1,4,2,1,2,4,1,4,2,0,2,3,0,3,10,0,4,2,0,2,4,0,"[0.92857143 0.         1.9        0.3        0.8        0.
 1.         0.         0.         1.5        0.         0.5
 1.5        0.         1.1        0.3       ]","[0.88888889 0.         0.3        0.6        0.6        0.
 0.9        0.3        0.6        0.6        0.3        0.3
 1.2        1.2        0.3        1.3       ]"
1,2,1,1,3,1,3,4,1,0,1,1,2,3,1,1,2,0,1,3,0,3,4,0,0,1,0,2,3,0,"[0.89655172 0.         0.         2.5        0.         0.3
 0.3        0.9        1.5        0.         0.8        0.6
 0.9        1.3        1.6        0.6       ]","[0.90322581 0.         0.3        0.         0.6        0.3
 0.3        0.6        0.6        0.         0.3        0.3
 0.         0.6        0.3        0.        ]"
2,1,1,2,3,1,2,6,1,2,4,1,1,0,1,2,1,0,2,3,0,2,6,0,2,4,0,1,0,0,"[0.90322581 0.         0.3        0.         1.1        0.3
 0.3        1.4        1.6        0.         0.6        0.3
 2.1        0.         0.6        0.9       ]","[0.93939394 0.         0.3        0.6        0.6        0.6
 0.6        0.9        0.         0.         0.3        0.3
 0.6        0.6        0.3        1.9       ]"
2,3,1,2,4,1,3,2,1,0,4,1,2,0,1,2,3,0,2,4,0,3,2,0,0,4,0,2,0,0,"[0.97142857 0.3        0.3        0.3        0.9        1.2
 0.3        1.9        0.6        0.         1.6        0.6
 0.3        0.8        0.         1.1       ]","[0.86956522 0.         0.         0.         0.5        1.3
 1.3        1.8        1.9        2.4        1.2        2.6
 0.         0.8        1.6        0.3       ]"
4,2,1,2,5,1,5,1,1,0,1,1,3,4,1,4,2,0,2,5,0,5,1,0,0,1,0,3,4,0,"[0.95833333 0.         1.6        0.6        0.3        0.8
 0.9        0.3        0.3        0.6        0.         0.8
 0.5        3.2        0.3        0.8       ]","[0.91176471 0.6        0.3        0.         0.3        0.
 1.1        0.3        0.3        0.9        0.         0.9
 1.3        1.3        1.9        1.4       ]"
0,2,1,3,2,1,3,2,1,3,2,1,2,3,1,0,2,0,3,2,0,3,2,0,3,2,0,2,3,0,"[0.87878788 0.         0.         0.3        1.3        0.3
 0.9        0.3        1.4        0.6        1.4        0.9
 0.3        0.8        0.3        1.8       ]","[0.83870968 0.3        0.3        0.         0.         0.3
 0.         0.3        1.         0.         0.3        0.3
 0.         1.2        1.1        1.1       ]"
6,3,1,0,4,1,8,2,1,1,4,1,3,2,1,6,3,0,0,4,0,8,2,0,1,4,0,3,2,0,"[0.85714286 0.3        0.9        0.8        0.3        1.3
 0.3        0.6        0.8        0.3        1.4        1.6
 0.3        0.         0.3        2.1       ]","[0.91111111 0.3        0.3        0.8        0.         0.3
 0.3        1.5        0.3        1.3        1.6        0.3
 0.5        1.         2.         0.6       ]"
1,2,1,1,2,1,1,2,1,1,4,1,2,1,1,1,2,0,1,2,0,1,2,0,1,4,0,2,1,0,"[0.93548387 0.         1.3        0.3        0.6        0.3
 0.         0.3        0.8        0.9        0.6        0.9
 0.6        1.2        0.         0.9       ]","[0.875 1.    0.3   0.8   0.8   1.    0.9   0.6   0.6   1.8   0.3   0.3
 0.6   1.6   0.3   1.1  ]"
