game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,home_team_id,home_scored_avg,home_conceded_avg,away_team_id,away_scored_avg,away_conceded_avg
1,4,1,4,2,0,3,6,0,4,2,0,5,0,0,19,2.477272727272727,2.977272727272727,28,2.7804878048780486,2.8292682926829267
4,1,1,3,2,1,4,1,0,3,2,0,7,3,0,23,2.727272727272727,2.909090909090909,29,2.8780487804878048,3.048780487804878
3,2,1,6,2,0,1,3,0,2,1,0,1,4,0,20,2.6774193548387095,2.881720430107527,29,2.8780487804878048,3.048780487804878
2,3,0,6,2,1,4,3,0,4,3,1,0,6,0,6,2.573170731707317,2.597560975609756,7,1.9634146341463414,3.341463414634146
7,2,1,4,0,1,4,3,0,2,6,0,1,2,0,8,2.3191489361702127,2.617021276595745,12,2.292682926829268,2.7560975609756095
1,4,0,4,3,0,1,6,0,2,1,1,4,3,0,17,2.674157303370787,2.808988764044944,13,2.5121951219512195,2.7195121951219514
0,1,1,3,1,0,1,4,0,2,3,1,2,4,0,3,2.3069306930693068,2.9405940594059405,1,2.207317073170732,2.6341463414634148
0,6,0,0,1,0,2,3,1,2,4,0,4,3,1,21,2.768292682926829,2.6707317073170733,23,2.909090909090909,2.727272727272727
1,5,0,3,6,0,2,1,0,4,3,1,6,3,0,1,2.6341463414634148,2.207317073170732,22,2.4146341463414633,3.451219512195122
1,0,0,3,2,0,2,1,0,4,3,0,3,2,0,19,2.477272727272727,2.977272727272727,52,2.7790697674418605,2.627906976744186
3,5,0,1,2,0,2,5,0,0,1,0,5,4,0,16,2.3714285714285714,2.8380952380952382,28,2.7804878048780486,2.8292682926829267
2,0,1,3,4,0,3,1,0,4,1,0,5,2,0,5,2.5402298850574714,2.632183908045977,3,2.9405940594059405,2.3069306930693068
0,3,0,3,4,0,2,1,0,4,3,0,3,2,0,53,3.317073170731707,2.073170731707317,23,2.909090909090909,2.727272727272727
2,1,0,1,2,0,2,0,0,7,5,0,5,3,1,17,2.674157303370787,2.808988764044944,9,2.840909090909091,2.5795454545454546
4,6,1,1,2,0,1,3,1,2,1,1,4,2,0,4,2.8536585365853657,2.6219512195121952,1,2.207317073170732,2.6341463414634148
4,1,1,2,3,0,4,5,0,5,3,1,1,3,0,12,2.7560975609756095,2.292682926829268,5,2.632183908045977,2.5402298850574714
6,3,0,2,1,0,5,4,0,4,5,0,5,3,0,22,3.451219512195122,2.4146341463414633,52,2.7790697674418605,2.627906976744186
0,2,0,0,3,0,1,3,1,4,3,1,3,4,0,14,2.5277777777777777,3.0277777777777777,19,2.977272727272727,2.477272727272727
2,1,0,6,3,0,3,0,0,2,1,1,1,3,0,1,2.6341463414634148,2.207317073170732,26,2.682926829268293,2.5
2,3,1,7,0,1,1,4,0,5,2,0,3,0,0,3,2.3069306930693068,2.9405940594059405,4,2.6219512195121952,2.8536585365853657
1,4,1,3,2,1,2,5,0,1,2,0,1,2,0,13,2.7195121951219514,2.5121951219512195,5,2.632183908045977,2.5402298850574714
4,2,0,3,2,0,4,1,1,3,4,1,2,5,0,9,2.5795454545454546,2.840909090909091,7,1.9634146341463414,3.341463414634146
5,3,1,1,0,1,4,3,0,2,4,0,4,1,0,19,2.477272727272727,2.977272727272727,25,3.182926829268293,3.1707317073170733
3,5,0,1,3,1,2,1,1,3,4,1,2,4,0,12,2.7560975609756095,2.292682926829268,52,2.7790697674418605,2.627906976744186
3,5,1,1,2,0,2,3,0,3,2,0,3,4,0,29,3.048780487804878,2.8780487804878048,6,2.597560975609756,2.573170731707317
1,3,0,3,4,0,3,2,0,1,4,1,2,5,0,15,2.40625,2.8125,26,2.682926829268293,2.5
3,2,0,1,4,0,2,5,0,3,4,0,4,3,1,18,2.5795454545454546,2.875,6,2.597560975609756,2.573170731707317
2,0,0,6,5,0,5,3,0,3,2,1,4,2,0,13,2.7195121951219514,2.5121951219512195,28,2.7804878048780486,2.8292682926829267
0,5,0,0,1,0,2,1,1,1,0,1,2,3,1,19,2.477272727272727,2.977272727272727,26,2.682926829268293,2.5
4,5,1,5,1,1,2,4,0,0,5,0,4,0,0,29,3.048780487804878,2.8780487804878048,7,1.9634146341463414,3.341463414634146
2,1,0,3,2,0,2,3,1,0,2,0,3,2,1,1,2.6341463414634148,2.207317073170732,2,3.0,2.764044943820225
5,2,0,4,3,0,3,4,1,4,5,1,2,1,1,13,2.7195121951219514,2.5121951219512195,52,2.7790697674418605,2.627906976744186
3,4,0,5,2,0,4,5,1,2,4,0,3,1,0,18,2.5795454545454546,2.875,26,2.682926829268293,2.5
1,0,0,2,3,0,2,3,0,2,1,1,2,3,0,3,2.3069306930693068,2.9405940594059405,17,2.808988764044944,2.674157303370787
1,5,0,2,1,0,1,3,0,2,1,0,0,3,1,8,2.3191489361702127,2.617021276595745,18,2.875,2.5795454545454546
3,0,0,4,1,0,1,3,0,4,3,0,3,0,0,26,2.5,2.682926829268293,20,2.881720430107527,2.6774193548387095
0,3,1,5,2,0,3,2,1,6,5,1,1,4,0,17,2.674157303370787,2.808988764044944,29,2.8780487804878048,3.048780487804878
1,5,0,3,2,1,1,2,1,1,8,1,4,3,0,12,2.7560975609756095,2.292682926829268,4,2.6219512195121952,2.8536585365853657
7,3,1,2,0,0,3,5,0,4,1,0,1,7,0,14,2.5277777777777777,3.0277777777777777,53,2.073170731707317,3.317073170731707
0,3,0,0,3,0,0,2,1,1,4,0,2,5,0,24,2.7346938775510203,2.989795918367347,7,1.9634146341463414,3.341463414634146
